257,104,264,196,214,207,177,258,265,315,187,374
259,106,265,200,218,212,177,260,269,319,190,377
260,107,265,200,219,214,175,259,269,320,190,378
259,106,264,199,219,214,176,258,269,320,190,378
258,106,265,199,219,214,176,256,270,320,189,378
257,106,263,198,219,213,176,256,269,319,189,378
257,105,265,197,219,212,176,257,269,319,189,376
257,105,265,199,219,213,176,257,269,319,189,377
257,104,265,198,220,213,176,256,269,319,190,378
257,104,265,196,220,212,175,256,270,319,190,378
257,105,263,198,220,212,175,256,270,319,189,378
258,104,263,197,220,212,177,256,271,319,191,376
258,104,264,196,221,212,178,256,272,318,192,376
258,104,266,197,220,213,177,256,273,318,194,376
258,104,267,196,221,211,179,255,273,318,194,378
258,104,268,194,221,211,179,255,274,317,196,377
258,104,267,196,222,211,179,256,274,317,196,376
258,104,265,195,221,212,179,256,273,317,195,376
258,104,265,196,219,213,176,256,271,318,192,378
258,105,264,198,218,213,174,256,268,320,187,377
258,105,263,199,216,214,173,257,265,322,183,378
257,106,262,199,214,214,171,257,262,324,178,381
257,107,260,202,213,215,169,256,260,324,176,380
257,109,261,202,213,214,169,255,260,324,178,378
258,107,261,200,215,214,172,256,264,322,183,378
259,106,263,199,218,213,174,256,269,319,188,377
258,103,265,196,221,213,177,256,274,317,193,376
258,101,268,193,223,212,181,255,277,316,200,375
258,100,270,191,224,211,183,255,280,315,205,375
258,99,270,191,225,211,181,254,280,316,204,375
258,99,269,192,223,211,179,253,277,317,200,376
259,101,268,197,222,212,178,254,274,318,194,377
259,104,264,200,219,213,175,255,270,320,189,378
259,106,259,202,218,213,175,255,266,321,185,378
260,106,257,203,217,214,173,255,266,322,184,377
260,105,256,202,219,213,175,255,267,321,187,377
261,104,257,201,220,212,175,254,272,319,192,377
261,102,256,201,223,211,179,254,276,317,197,374
260,100,256,198,224,211,181,255,279,316,202,375
259,100,257,196,225,210,182,255,280,315,204,375
260,101,259,196,225,210,181,254,278,316,201,376
260,102,255,199,223,211,179,254,275,318,195,377
260,103,251,202,221,212,177,255,271,319,189,378
260,105,246,206,219,213,176,255,268,321,185,378
260,106,244,207,218,213,173,255,266,321,184,378
261,105,244,207,219,214,174,255,267,321,186,378
261,104,244,206,221,213,176,254,271,319,190,377
261,102,245,204,223,211,180,254,275,317,195,374
261,101,252,199,224,211,182,255,279,316,201,374
261,101,254,199,226,210,182,255,280,316,203,375
261,102,254,199,225,211,180,255,278,317,200,377
261,102,253,200,223,212,178,254,275,318,194,377
262,103,246,205,221,213,176,255,271,320,190,378
262,104,243,207,220,214,176,255,267,321,185,377
262,106,241,208,219,214,173,255,266,321,185,378
262,105,237,209,220,214,175,255,268,320,186,377
262,103,243,207,222,212,177,255,272,319,193,376
262,100,247,205,223,211,180,255,277,318,200,376
262,100,249,202,225,211,182,254,279,316,204,375
262,101,256,198,227,211,183,254,279,316,204,376
262,101,254,200,225,212,181,255,278,317,199,375
262,103,249,203,223,213,179,255,274,319,194,375
262,105,244,206,221,213,176,256,270,320,188,378
262,105,239,208,219,213,172,255,267,321,185,377
262,104,234,209,219,213,173,255,268,321,184,377
262,102,235,209,220,212,176,255,271,319,190,376
261,101,238,208,223,211,180,254,276,317,195,375
261,101,245,205,224,210,181,254,279,316,200,374
261,99,252,199,225,210,183,255,280,315,202,374
262,100,262,195,226,210,180,256,279,316,200,375
262,101,258,197,224,211,179,255,276,318,195,375
262,103,254,199,222,212,176,255,272,319,190,376
262,104,247,204,220,213,177,254,269,321,187,377
262,105,238,209,220,213,175,255,268,320,186,377
262,104,235,209,221,213,176,255,270,319,190,376
262,102,234,210,222,212,178,255,274,317,195,375
262,101,239,209,224,211,181,254,278,316,199,373
261,100,250,202,226,211,179,255,279,316,202,374
262,101,259,197,225,211,181,256,278,317,200,376
261,102,253,200,223,212,177,255,274,318,194,376
261,104,246,204,221,214,177,255,270,319,188,376
261,106,242,207,219,214,174,256,266,321,183,377
262,108,236,210,218,214,172,254,264,322,182,376
262,107,232,211,218,214,173,255,267,320,186,376
262,104,231,211,221,213,177,255,272,318,192,376
262,102,230,212,224,212,181,255,278,315,199,375
262,100,238,207,226,211,184,255,281,315,204,375
261,99,255,200,227,210,184,254,281,315,206,375
261,99,258,197,226,211,182,255,279,316,202,376
261,101,254,200,223,212,178,255,275,318,194,376
262,103,250,204,220,213,176,255,269,319,188,377
262,106,245,207,219,213,175,254,265,321,184,378
262,107,232,211,219,213,175,255,264,322,183,377
264,107,228,212,220,213,176,256,267,321,186,377
263,105,229,212,222,212,178,255,272,319,191,376
263,104,241,208,223,211,180,255,275,318,197,376
262,102,250,202,225,211,178,255,277,317,200,376
262,103,254,199,225,211,180,255,276,318,199,375
262,104,251,200,223,212,178,256,273,318,193,376
261,104,252,202,221,213,176,256,269,320,187,377
261,108,246,205,218,214,174,255,265,322,181,377
262,109,242,208,217,214,173,255,263,323,180,378
262,108,233,212,217,214,174,255,264,322,185,377
262,106,229,213,220,214,176,255,268,320,188,377
